Recipe Name,Ingredients,Main Vegetable,Cuisine,Cooking Method
spinach Boil,"boil spinach, potato, cauliflower, tomato, fish sauce, coconut milk",spinach,Thai,boil
zucchini Saute,"saute zucchini, bell pepper, mushroom, tomato, cream, tomato",zucchini,American,saute
garlic Stir Fry,"stir fry garlic, zucchini, cauliflower, potato, cumin, ginger",garlic,Indian,stir fry
zucchini Stir Fry,"stir fry zucchini, bell pepper, cabbage, peas, olive oil, thyme",zucchini,French,stir fry
carrot Soup,"soup carrot, eggplant, zucchini, cumin, turmeric",carrot,Indian,soup
bell pepper Curry,"curry bell pepper, peas, garlic, chili",bell pepper,Thai,curry
tomato Boil,"boil tomato, zucchini, bell pepper, chili, fish sauce",tomato,Thai,boil
mushroom Stir Fry,"stir fry mushroom, zucchini, spinach, bell pepper, garlic, thyme",mushroom,French,stir fry
garlic Roast,"roast garlic, potato, eggplant, zucchini, cream, onion",garlic,French,roast
mushroom Roast,"roast mushroom, carrot, garlic, olive oil",mushroom,French,roast
tomato Saute,"saute tomato, carrot, garlic, basil, olive oil",tomato,Italian,saute
garlic Saute,"saute garlic, bell pepper, spinach, mushroom, cheddar, avocado",garlic,Mexican,saute
bell pepper Saute,"saute bell pepper, broccoli, avocado, cheddar",bell pepper,Mexican,saute
eggplant Boil,"boil eggplant, onion, spinach, chili, lemongrass",eggplant,Thai,boil
cabbage Bake,"bake cabbage, mushroom, broccoli, ginger, turmeric",cabbage,Indian,bake
cauliflower Boil,"boil cauliflower, peas, avocado, salsa",cauliflower,Mexican,boil
onion Roast,"roast onion, cabbage, turmeric, ginger",onion,Indian,roast
cabbage Roast,"roast cabbage, mushroom, carrot, garam masala, coriander",cabbage,Indian,roast
mushroom Boil,"boil mushroom, zucchini, potato, spinach, olive oil, onion",mushroom,French,boil
cauliflower Bake,"bake cauliflower, zucchini, olive oil, garlic",cauliflower,French,bake
carrot Stir Fry,"stir fry carrot, zucchini, chili, turmeric",carrot,Indian,stir fry
peas Curry,"curry peas, potato, cauliflower, turmeric, chili",peas,Indian,curry
zucchini Bake,"bake zucchini, eggplant, fish sauce, lemongrass",zucchini,Thai,bake
bell pepper Roast,"roast bell pepper, mushroom, tomato sauce, oregano",bell pepper,Italian,roast
zucchini Roast,"roast zucchini, spinach, cauliflower, bell pepper, ginger, chili",zucchini,Indian,roast
carrot Roast,"roast carrot, eggplant, spinach, potato, garlic, tomato",carrot,Mediterranean,roast
onion Boil,"boil onion, carrot, spring onion, soy sauce",onion,Chinese,boil
onion Grill,"grill onion, broccoli, bell pepper, butter, garlic",onion,French,grill
cabbage Bake,"bake cabbage, tomato, carrot, feta, tomato",cabbage,Mediterranean,bake
cabbage Roast,"roast cabbage, eggplant, cauliflower, cumin, coriander",cabbage,Indian,roast
carrot Saute,"saute carrot, potato, mushroom, cumin, ginger",carrot,Indian,saute
tomato Roast,"roast tomato, eggplant, lemongrass, ginger",tomato,Thai,roast
onion Roast,"roast onion, spinach, turmeric, coriander",onion,Indian,roast
broccoli Bake,"bake broccoli, garlic, avocado, beans",broccoli,Mexican,bake
cauliflower Roast,"roast cauliflower, tomato, mushroom, cilantro, cheddar",cauliflower,Mexican,roast
spinach Grill,"grill spinach, mushroom, coriander, chili",spinach,Indian,grill
bell pepper Boil,"boil bell pepper, eggplant, onion, ginger, garlic",bell pepper,Thai,boil
garlic Saute,"saute garlic, eggplant, cabbage, mozzarella, olive oil",garlic,Italian,saute
cauliflower Boil,"boil cauliflower, eggplant, lemongrass, garlic",cauliflower,Thai,boil
onion Bake,"bake onion, carrot, ginger, coconut milk",onion,Thai,bake
bell pepper Soup,"soup bell pepper, mushroom, peas, cabbage, soy sauce, spring onion",bell pepper,Chinese,soup
zucchini Saute,"saute zucchini, broccoli, tomato, turmeric, cumin",zucchini,Indian,saute
peas Roast,"roast peas, tomato, butter, bacon",peas,American,roast
spinach Soup,"soup spinach, garlic, eggplant, lemon, feta",spinach,Mediterranean,soup
carrot Curry,"curry carrot, spinach, garlic, chili",carrot,Chinese,curry
potato Saute,"saute potato, mushroom, olive oil, basil",potato,Italian,saute
cauliflower Curry,"curry cauliflower, tomato, spinach, mozzarella, oregano",cauliflower,Italian,curry
bell pepper Bake,"bake bell pepper, onion, peas, tomato, herbs",bell pepper,Mediterranean,bake
cabbage Grill,"grill cabbage, zucchini, mushroom, chili, spring onion",cabbage,Chinese,grill
bell pepper Roast,"roast bell pepper, carrot, spring onion, ginger",bell pepper,Chinese,roast
carrot Roast,"roast carrot, mushroom, turmeric, coriander",carrot,Indian,roast
zucchini Curry,"curry zucchini, cauliflower, bell pepper, onion, lemongrass, coconut milk",zucchini,Thai,curry
eggplant Roast,"roast eggplant, cauliflower, zucchini, carrot, basil, tomato sauce",eggplant,Italian,roast
peas Soup,"soup peas, cabbage, soy sauce, garlic",peas,Chinese,soup
cauliflower Soup,"soup cauliflower, potato, broccoli, eggplant, beans, corn",cauliflower,Mexican,soup
peas Saute,"saute peas, tomato, spring onion, garlic",peas,Chinese,saute
carrot Soup,"soup carrot, tomato, potato, broccoli, salsa, beans",carrot,Mexican,soup
peas Saute,"saute peas, onion, sesame oil, chili",peas,Chinese,saute
bell pepper Roast,"roast bell pepper, tomato, zucchini, bacon, tomato",bell pepper,American,roast
peas Stir Fry,"stir fry peas, eggplant, basil, olive oil",peas,Italian,stir fry
garlic Curry,"curry garlic, eggplant, mushroom, carrot, bacon, onion",garlic,American,curry
garlic Boil,"boil garlic, mushroom, cabbage, eggplant, garam masala, cumin",garlic,Indian,boil
potato Bake,"bake potato, spinach, avocado, corn",potato,Mexican,bake
zucchini Curry,"curry zucchini, carrot, potato, cumin, chili",zucchini,Indian,curry
cauliflower Bake,"bake cauliflower, tomato, mushroom, bacon, tomato",cauliflower,American,bake
bell pepper Grill,"grill bell pepper, garlic, tomato, soy sauce, ginger",bell pepper,Chinese,grill
broccoli Saute,"saute broccoli, peas, ginger, chili",broccoli,Chinese,saute
broccoli Soup,"soup broccoli, zucchini, onion, tomato, ginger, garlic",broccoli,Chinese,soup
mushroom Boil,"boil mushroom, cauliflower, bell pepper, garlic, fish sauce",mushroom,Thai,boil
garlic Boil,"boil garlic, tomato, potato, corn, salsa",garlic,Mexican,boil
zucchini Stir Fry,"stir fry zucchini, cabbage, onion, feta, herbs",zucchini,Mediterranean,stir fry
onion Curry,"curry onion, garlic, peas, olive oil, tomato sauce",onion,Italian,curry
mushroom Roast,"roast mushroom, tomato, potato, garlic, olive oil, onion",mushroom,French,roast
eggplant Bake,"bake eggplant, peas, cabbage, carrot, cream, butter",eggplant,American,bake
tomato Stir Fry,"stir fry tomato, peas, mushroom, lemon, garlic",tomato,Mediterranean,stir fry
spinach Saute,"saute spinach, potato, cauliflower, garlic, garlic, sesame oil",spinach,Chinese,saute
zucchini Saute,"saute zucchini, peas, spinach, cauliflower, onion, olive oil",zucchini,French,saute
onion Saute,"saute onion, spinach, cabbage, broccoli, fish sauce, lemongrass",onion,Thai,saute
garlic Saute,"saute garlic, tomato, soy sauce, spring onion",garlic,Chinese,saute
garlic Boil,"boil garlic, carrot, tomato, olive oil, feta",garlic,Mediterranean,boil
mushroom Grill,"grill mushroom, onion, garlic, zucchini, garlic, onion",mushroom,French,grill
zucchini Curry,"curry zucchini, cabbage, onion, butter",zucchini,American,curry
